Using device: cuda
Loading dataset from /content/drive/MyDrive/FM_project/dataset/skippd_train_embeddings.parquet...
Preprocessing dataset into tensors for speed...
Dataset created with 4453 samples.
Using precomputed embeddings. Skipping Vision Backbone load.
Loading Chronos Pipeline to get model...
/usr/local/lib/python3.12/dist-packages/huggingface_hub/utils/_auth.py:94: UserWarning: 
The secret `HF_TOKEN` does not exist in your Colab secrets.
To authenticate with the Hugging Face Hub, create a token in your settings tab (https://huggingface.co/settings/tokens), set it as secret in your Google Colab and restart your session.
You will be able to reuse this secret in all of your notebooks.
Please note that authentication is recommended but still optional to access public models or datasets.
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
`torch_dtype` is deprecated! Use `dtype` instead!
Casting Projector to bfloat16...
trainable params: 1,206,912 || all params: 120,684,576 || trainable%: 1.0001
Starting Training...
Epoch 6 | Step 180 | Loss: 0.0449
Epoch 6 | Step 190 | Loss: 0.0681
Epoch 6 | Step 200 | Loss: 0.0666
Epoch 6 | Step 210 | Loss: 0.0538
Epoch 6 | Step 220 | Loss: 0.0611
Epoch 6 | Step 230 | Loss: 0.0529
Epoch 6 | Step 240 | Loss: 0.0669
Epoch 6 | Step 250 | Loss: 0.0621
Epoch 6 | Step 260 | Loss: 0.0626
Epoch 6 | Step 270 | Loss: 0.0512
Epoch 6 Complete. Avg Loss: 0.0613
Epoch 7 | Step 10 | Loss: 0.0544
Epoch 7 | Step 20 | Loss: 0.0456
Epoch 7 | Step 30 | Loss: 0.0419
Epoch 7 | Step 40 | Loss: 0.0519
Epoch 7 | Step 50 | Loss: 0.0483
Epoch 7 | Step 60 | Loss: 0.0660
Epoch 7 | Step 70 | Loss: 0.0524
Epoch 7 | Step 80 | Loss: 0.0512
Epoch 7 | Step 90 | Loss: 0.0482
Epoch 7 | Step 100 | Loss: 0.0526
Epoch 7 | Step 110 | Loss: 0.0425
Epoch 7 | Step 120 | Loss: 0.0491
Epoch 7 | Step 130 | Loss: 0.0470
Epoch 7 | Step 140 | Loss: 0.0599
Epoch 7 | Step 150 | Loss: 0.0522
Epoch 7 | Step 160 | Loss: 0.0570
Epoch 7 | Step 170 | Loss: 0.0518
Epoch 7 | Step 180 | Loss: 0.0789
Epoch 7 | Step 190 | Loss: 0.0557
Epoch 7 | Step 200 | Loss: 0.0552
Epoch 7 | Step 210 | Loss: 0.0430
Epoch 7 | Step 220 | Loss: 0.0635
Epoch 7 | Step 230 | Loss: 0.0619
Epoch 7 | Step 240 | Loss: 0.0697
Epoch 7 | Step 250 | Loss: 0.0503
Epoch 7 | Step 260 | Loss: 0.0528
Epoch 7 | Step 270 | Loss: 0.0712
Epoch 7 Complete. Avg Loss: 0.0589
Epoch 8 | Step 10 | Loss: 0.0429
Epoch 8 | Step 20 | Loss: 0.0685
Epoch 8 | Step 30 | Loss: 0.0622
Epoch 8 | Step 40 | Loss: 0.0632
Epoch 8 | Step 50 | Loss: 0.0588
Epoch 8 | Step 60 | Loss: 0.0487
Epoch 8 | Step 70 | Loss: 0.0526
Epoch 8 | Step 80 | Loss: 0.0578
Epoch 8 | Step 90 | Loss: 0.0536
Epoch 8 | Step 100 | Loss: 0.0514
Epoch 8 | Step 110 | Loss: 0.0561
Epoch 8 | Step 120 | Loss: 0.0495
Epoch 8 | Step 130 | Loss: 0.0478
Epoch 8 | Step 140 | Loss: 0.0738
Epoch 8 | Step 150 | Loss: 0.0494
Epoch 8 | Step 160 | Loss: 0.0532
Epoch 8 | Step 170 | Loss: 0.0542
Epoch 8 | Step 180 | Loss: 0.0670
Epoch 8 | Step 190 | Loss: 0.0529
Epoch 8 | Step 200 | Loss: 0.0471
Epoch 8 | Step 210 | Loss: 0.0741
Epoch 8 | Step 220 | Loss: 0.0627
Epoch 8 | Step 230 | Loss: 0.0645
Epoch 8 | Step 240 | Loss: 0.0686
Epoch 8 | Step 250 | Loss: 0.0702
Epoch 8 | Step 260 | Loss: 0.0603
Epoch 8 | Step 270 | Loss: 0.0689
Epoch 8 Complete. Avg Loss: 0.0572
Epoch 9 | Step 10 | Loss: 0.0670
Epoch 9 | Step 20 | Loss: 0.0767
Epoch 9 | Step 30 | Loss: 0.0523
Epoch 9 | Step 40 | Loss: 0.0661
Epoch 9 | Step 50 | Loss: 0.0494
Epoch 9 | Step 60 | Loss: 0.0733
Epoch 9 | Step 70 | Loss: 0.0601
Epoch 9 | Step 80 | Loss: 0.0486
Epoch 9 | Step 90 | Loss: 0.0719
Epoch 9 | Step 100 | Loss: 0.0362
Epoch 9 | Step 110 | Loss: 0.0621
Epoch 9 | Step 120 | Loss: 0.0654
Epoch 9 | Step 130 | Loss: 0.0484
Epoch 9 | Step 140 | Loss: 0.0523
Epoch 9 | Step 150 | Loss: 0.0457
Epoch 9 | Step 160 | Loss: 0.0497
Epoch 9 | Step 170 | Loss: 0.0558
Epoch 9 | Step 180 | Loss: 0.0658
Epoch 9 | Step 190 | Loss: 0.0651
Epoch 9 | Step 200 | Loss: 0.0563
Epoch 9 | Step 210 | Loss: 0.0590
Epoch 9 | Step 220 | Loss: 0.0499
Epoch 9 | Step 230 | Loss: 0.0491
Epoch 9 | Step 240 | Loss: 0.0515
Epoch 9 | Step 250 | Loss: 0.0497
Epoch 9 | Step 260 | Loss: 0.0570
Epoch 9 | Step 270 | Loss: 0.0411
Epoch 9 Complete. Avg Loss: 0.0555
Epoch 10 | Step 10 | Loss: 0.0516
Epoch 10 | Step 20 | Loss: 0.0472
Epoch 10 | Step 30 | Loss: 0.0448
Epoch 10 | Step 40 | Loss: 0.0510
Epoch 10 | Step 50 | Loss: 0.0532
Epoch 10 | Step 60 | Loss: 0.0471
Epoch 10 | Step 70 | Loss: 0.0570
Epoch 10 | Step 80 | Loss: 0.0605
Epoch 10 | Step 90 | Loss: 0.0592
Epoch 10 | Step 100 | Loss: 0.0643
Epoch 10 | Step 110 | Loss: 0.0514
Epoch 10 | Step 120 | Loss: 0.0508
Epoch 10 | Step 130 | Loss: 0.0414
Epoch 10 | Step 140 | Loss: 0.0532
Epoch 10 | Step 150 | Loss: 0.0636
Epoch 10 | Step 160 | Loss: 0.0558
Epoch 10 | Step 170 | Loss: 0.0496
Epoch 10 | Step 180 | Loss: 0.0548
Epoch 10 | Step 190 | Loss: 0.0439
Epoch 10 | Step 200 | Loss: 0.0587
Epoch 10 | Step 210 | Loss: 0.0588
Epoch 10 | Step 220 | Loss: 0.0545
Epoch 10 | Step 230 | Loss: 0.0618
Epoch 10 | Step 240 | Loss: 0.0495
Epoch 10 | Step 250 | Loss: 0.0880
Epoch 10 | Step 260 | Loss: 0.0597
Epoch 10 | Step 270 | Loss: 0.0567
Epoch 10 Complete. Avg Loss: 0.0544
Saving Projector and Adapter...
Done!
